AS,IPv4_Num
AS34358,39424
AS37196,39424
AS47447,39424
AS56630,39424
AS15685,39168
AS28747,39168
AS395111,39168
AS45370,39168
AS46841,39168
AS64249,39168
AS21119,38912
AS34081,38912
AS41887,38912
AS6295,38912
AS63139,38912
AS208972,38656
AS33139,38656
AS47692,38656
AS51580,38656
AS6878,38656
AS8920,38656
AS132420,38400
AS21887,38400
AS22489,38400
AS22772,38400
AS25291,38400
AS7381,38400
AS10692,38144
AS12850,38144
AS135391,38144
AS15412,38144
AS202468,38144
AS22781,38144
AS31856,38144
AS39494,38144
AS50926,38144
AS63023,38144
AS199636,37888
AS22576,37888
AS45250,37888
AS53587,37888
AS132742,37632
AS13776,37632
AS23930,37376
AS38107,37376
AS11608,37120
AS136994,37120
AS25649,37120
AS6646,37120
AS20248,36864
AS31463,36864
AS59729,36864
AS201011,36608
AS31543,36608
AS48716,36608
AS197248,36352
AS19969,36352
AS64200,36352
AS7753,36352
AS131866,36096
AS50292,36096
AS6650,36096
AS141995,35840
AS27630,35840
AS394380,35840
AS395776,35840
AS6423,35840
AS15817,35584
AS19151,35584
AS200719,35584
AS206092,35584
AS207713,35584
AS42730,35584
AS45668,35584
AS9952,35584
AS29177,35328
AS8285,35328
AS8879,35328
AS8896,35328
AS14383,35072
AS27323,35072
AS396253,35072
AS42184,35072
AS4851,35072
AS51468,35072
AS53340,35072
AS62785,35072
AS25560,34816
AS30823,34816
AS48314,34816
AS48347,34816
AS49425,34816
AS54905,34816
AS58683,34816
AS20559,34560
AS210644,34560
AS43391,34560
AS9524,34560
AS12374,34304
AS17223,34304
AS34744,34304
AS42910,34304
AS14743,34048
AS16617,34048
AS20054,34048
AS200598,34048
AS24521,34048
AS29017,34048
AS203953,33792
AS212477,33792
AS34867,33792
AS53264,33792
AS62887,33792
AS9115,33792
AS12993,33536
AS15570,33536
AS28189,33536
AS52925,33536
AS10412,33280
AS11947,33280
AS17229,33280
AS2044,33280
AS22458,33280
AS29988,33280
AS32708,33280
AS27382,33024
AS57043,33024
AS58793,33024
AS793,33024
AS9002,33024
AS9066,33024
AS9099,33024
AS979,33024
AS15612,32768
AS20783,32768
AS24768,32768
AS25596,32768
AS28661,32768
AS45544,32768
AS55461,32768
AS9902,32768
AS39392,32512
AS396986,32512
AS51559,32512
AS27659,32256
AS27932,32256
AS399195,32256
AS4208,32256
AS12722,32000
AS24951,32000
AS29169,32000
AS394432,32000
AS203489,31744
AS29650,31744
AS31775,31744
AS43646,31744
AS2280,31488
AS35745,31488
AS42346,31488
AS9287,31488
AS23528,31232
